"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
dhd-nexus-60-x-20-x-2-11-16-34l-eps;"DHD Nexus 6'0 x 20 x 2 11/16 - 34L - Eps";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards";Tamanho;6'0;Volume;34L;;;4,395.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"dhd, EPS, nexus, prancha de surf";;;"DHD Surfboards";SIM;;;;
dhd-nexus-510-x-19-3-8-x-2-1-2-30l-eps;"DHD Nexus 5'10 x 19 3/8 x 2 1/2 - 30L - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards";Tamanho;5'10;Volume;30L;;;4,395.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"dhd, EPS, nexus, prancha de surf";;;"DHD Surfboards";SIM;;;;
dhd-phoenix-flight-60-x-21-1-4-x-2-11-16-37-eps;"DHD Phoenix Flight - 6'0 x 21 1/4 x 2 11/16 - 37 Eps";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards";Tamanho;6'0;Volume;37L;;;4,695.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"dhd, EPS, phoenixflight, prancha de surf";;;"DHD Surfboards";SIM;;;;
dhd-phoenix-flight-59-x-20-1-4-x-2-9-16-32-eps;"DHD Phoenix Flight - 5'9 x 20 1/4 x 2 9/16 - 32 Eps";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards";Tamanho;5`9;Volume;32L;;;4,695.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"dhd, EPS, phoenixflight, prancha de surf";;;"DHD Surfboards";SIM;;;;
dhd-nexus-58-x-19-1-8-x-2-3-8-28l-eps;"DHD Nexus 5'8 x 19 1/8 x 2 3/8 -28L - Eps";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards";Tamanho;5'8;Volume;28L;;;4,395.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"dhd, EPS, nexus, prancha de surf";"Prancha de Surf DHD Nexus";;"DHD Surfboards";SIM;;;;
dhd-phoenix-flight-57-x-19-5-8-x-2-7-16-29-eps;"DHD Phoenix Flight - 5'7 x 19 5/8 X 2 7/16 - 29 Eps";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards";Tamanho;5`7;Volume;29L;;;4,695.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"dhd, EPS, phoenixflight, prancha de surf";"Prancha de Surfe DHD Phoenix Flight";;"DHD Surfboards";SIM;;;;
js-xero-fusion-510-x-19-3-4-x-2-7-16-305l-eps-carbon-tune1;"JS Xero Fusion 5'10 x 19 3/4 x 2 7/16 - 30,5L - EPS Carbon Tune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'10;Volume;30,5L;;;5,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"carbontune, js, js industries, prancha de surf, xerofusion";;;"JS Industries";SIM;;;;
js-raging-bull-510-x-19-1-4-x-2-1-2-297l-eps;"JS Raging Bull 5'10 x 19 1/4 x 2 1/2 - 29,7L - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'10;Volume;29,7L;;;4,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"29.7L, 5'10, js, js industries, prancha de surf, Raging Bull";;;"JS Industries";SIM;;Unissex;Adulto;
js-xero-gravity-59-x-19-1-8-x-2-9-16-29l-eps;"JS Xero Gravity - 5'9 x 19 1/8 x 2 9/16 -29L - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'9;Volume;29L;;;4,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"js, js industries, prancha de surf, XEROGRAVITY";;;"JS Industries";SIM;;;;
js-xero-gravity-511-x-19-1-4-x-2-7-16-295l-eps;"JS Xero Gravity - 5'11 x 19 1/4 x 2 7/16 -29,5L - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'11;Volume;29,5L;;;3,990.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"js, js industries, prancha de surf, pu, XEROGRAVITY";;;"JS Industries";SIM;;;;
js-xero-fusion-60-x-20-1-4-x-2-3-4-362l-eps;"JS Xero Fusion 6'0 x 20 1/4 x 2 3/4- 36,2L - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;6'0;Volume;36,2L;;;4,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"js, js industries, prancha de surf, xerofusion";;;"JS Industries";SIM;;;;
js-xero-fusion-511-x-20-x-2-1-2-32l-eps-carbon-tune;"JS Xero Fusion 5'11 x 20 x 2 1/2 - 32L - EPS Carbon Tune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'11;Volume;32L;;;5,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"carbontune, js, js industries, prancha de surf, xerofusion";;;"JS Industries";SIM;;;;
seminova-oceanside-56-x-19-x-2-3-4-302l-eps;"Seminova Oceanside - 5'6 x 19 x 2 3/4 - 30,2L - EPS";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'6;Volume;30,2L;;;1,990.00;1,590.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"oceanside, prancha de surf, pranchaseminova, SEMINOVA";;;Oceanside;SIM;;;;
seminova-chilli-miami-spice-58-x-21-1-2-x-2-7-16-328l-pu;"Seminova Chilli Miami Spice - 5'8 x 21 1/2 x 2 7/16 -32,8L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'8;Volume;32,8L;;;790.00;590.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"CHILLI, miamispice, prancha de surf, pranchaseminova, SEMINOVA";;;Chilli;SIM;;;;
al-merrick-ci-2-pro-59-x-19-1-8-x-2-7-16-288l-pu-ect;"Al Merrick CI 2 PRO 5'9 x 19 1/8 x 2 7/16 - 28,8L PU ECT";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'9;Volume;28,8L;;;5,500.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"28.7L, al merrick, carbon, CI2PRO, ect, prancha de surf";;;"Al Merrick";SIM;;;;
seminova-snapy-rtx-57-x-18-3-4-x-2-1-2-266l-pu-epoxi;"Seminova Snapy RTX - 5'7 x 18 3/4 x 2 1/2 - 26,6L - PU/Epoxi";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'7;Volume;26,6L;;;2,490.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, pranchaseminova, RTX, SEMINOVA, snapy";;;Snapy;SIM;;;;
seminova-al-merrick-flyer-511-x-19-5-8-x-2-3-8-28-9l-eps-spinetek;"Seminova Al Merrick Flyer 5'11 X 19 5/8 X 2 3/8 - 28.9L - EPS Spinetek";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'11;Volume;28,9L;;;3,190.00;2,890.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, EPS, flyer, OGFLYER, prancha de surf, spinetek";;;"Al Merrick";SIM;;;;
seminova-tokoro-5-59-x-18-1-2-x-2-5-16-25l-eps;"Seminova Tokoro 5+ 5'9 x 18 1/2 x 2 5/16 - 25L - EPS";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'9;Volume;25L;;;990.00;890.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"5+, prancha de surf, pranchaseminova, SEMINOVA, tokoro";;;Tokoro;SIM;;;;
prancha-seminova-dhd-3dv-56-x-18-5-8-x-2-5-16-255l-eps;"Prancha Seminova DHD 3DV - 5'6 x 18 5/8 x 2 5/16 - 25,5L - EPS";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'6;Volume;25,5L;;;1,490.00;1,290.00;4.00;20.00;55.00;190.00;1;;;SIM;NÃO;;"3dv, dhd, prancha usada, seminova";;;DHD;SIM;;;;
evolution-boards-point-68-x-21-3-4-x-3-46l-eps-copia;"Evolution Boards Point - 6'8 x 21 3/4 x 3 - 46L EPS - (cópia)";"Prancha de surf > Prancha de surf nova > Prancha de surf Funboard, Prancha de surf > Prancha de surf para iniciantes";Tamanho;6'8;Volume;46L;;;2,890.00;;6.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"evolution, inciantes, prancha de surf";;;"Board's Point";SIM;;;;
evolution-boards-point-66-x-21-1-2-x-2-7-8-43l-eps;"Evolution Boards Point - 6'6 x 21 1/2 x 2 7/8 - 43L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Funboard, Prancha de surf > Prancha de surf para iniciantes";Tamanho;6'6;Volume;43L;;;2,890.00;;6.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"evolution, inciantes, prancha de surf";;;"Board's Point";SIM;;;;
evolution-boards-point-64-x-21-1-4-x-2-3-4-39l-eps;"Evolution Boards Point - 6'4 x 21 1/4 x 2 3/4 - 39L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Funboard, Prancha de surf > Prancha de surf para iniciantes";Tamanho;6'4;Volume;39L;;;2,890.00;;6.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"evolution, inciantes, prancha de surf";;;"Board's Point";SIM;;;;
js-xero-gravity-59-x-19-1-8-x-2-1-2-284-l-eps-carbontune;"JS Xero Gravity - 5'9 x 19 1/8 x 2 1/2 - 28,4 L -EPS Carbontune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'9;Volume;28,4L;;;5,690.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"js, js industries, prancha de surf, pu, XEROGRAVITY";;;"JS Industries";SIM;;;;
js-monsta-10-510-x-19-x-2-1-2-286l-eps-carbontune;"JS Monsta 10 - 5'10 x 19 x 2 1/2 - 28,6L - EPS Carbontune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'10;Volume;28,6L;;;5,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"carbontune, EPS, js, js industries, Monta 10, prancha de surf";;;"JS Industries";SIM;;;;
js-xero-fusion-510-x-19-3-4-x-2-7-16-305l-eps-carbon-tune;"JS Xero Fusion 5'10 x 19 3/4 x 2 7/16 - 30,5L - EPS Carbon Tune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'10;Volume;30,5L;;;5,390.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"carbontune, js, js industries, prancha de surf, xerofusion";;;"JS Industries";SIM;;;;
seminova-al-merrick-rocket-wide-59-x-19-3-4-x-2-5-8-328l-eps-spinetek;"Seminova Al Merrick Rocket Wide - 5'9 x 19 3/4 x 2 5/8 - 32,8L - EPS Spinetek";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'9;Volume;32,8L;;;3,290.00;2,890.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, prancha de surf, pranchaseminova, rocketwide, SEMINOVA, spinetek";;;"Al Merrick";SIM;;;;
seminova-al-merrick-ogflyer-510-x-19-3-4-x-2-5-8-331l-pu;"Seminova Al Merrick OgFlyer - 5'10 X 19 3/4 X 2 5/8 - 33,1L - PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;33,1L;;;2,590.00;2,290.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Channel Islands, OGFLYER, prancha de surf, PRANCHAUSADA, pu, SEMINOVA";;;"Al Merrick";SIM;;;;
snapy-rtx-round-510-x-19-1-8-x-2-9-16-296l-eps;"Snapy RTX ROUND - 5'10 x 19 1/8 x 2 9/16 - 29,6L - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'10;Volume;29,8L;;;3,190.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"5'10, prancha de surf, RTX, snapy";;;Snapy;SIM;;;;
snapy-fritas-2-0-xl-swallow-510-x-19-7-8-x-2-9-16-317l-eps;"Snapy Fritas 2.0 XL Swallow - 5'10 x 19 7/8 x 2 9/16 - 31,7L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'10;Volume;31,7L;;;3,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"Fritas XL, prancha de surf, snapy";;;Snapy;SIM;;;;
snapy-fritas-2-0-swallow-510-x-19-1-2-x-2-9-16-30-9l-eps;"Snapy Fritas 2.0 Swallow - 5'10 x 19 1/2 x 2 9/16 - 30.9L -EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'10;Volume;30,9L;;;3,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"Fritas XL, prancha de surf, snapy";;;Snapy;SIM;;;;
snapy-aloha-snapyflex-62-x-20-1-2-x-2-11-16-372-eps;"Snapy Aloha Snapyflex - 6'2 x 20 1/2 x 2 11/16 - 37,2 - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;6'2;Volume;37,2L;;;3,390.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"aloha, prancha de surf, snapy";;;Snapy;SIM;;;;
snapy-joker-sw-snapflex-60-x-21-x-2-1-2-342l-eps;"Snapy Joker SW Snapflex 6'0 x 21 x 2 1/2 - 34,2L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;6'0;Volume;34,2L;;;3,390.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"34L, Joker, prancha de surf, snapy";;;Snapy;SIM;;;;
al-merrick-neckbeard-3-511-x-20-x-2-5-8-338l-pu;"Al Merrick Neckbeard 3 - 5'11 x 20 x 2 5/8 - 33,8L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands, Pranchas em promoção";Tamanho;5'11;Volume;33,8L;;;4,950.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"30.9L, 5'9, al merrick, Channel Islands, Neckbeard 3, prancha de surf";;;"Al Merrick";SIM;;Unissex;Adulto;
al-merrick-dumpster-diver2-58x-19-1-2x-2-7-16-293l-pu1;"Al Merrick Dumpster Diver2 - 5'8 x 19 1/2 x 2 7/16 - 29,3L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'8;Volume;29,3L;;;4,800.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, cisurfboards, DD2, DUMPSTERDIVER2, prancha de surf";;;"Al Merrick";SIM;;;;
seminova-lost-driver-3-0-510-x-19-1-2-x-2-1-2-297l-pu;"Seminova Lost Driver 3.0 - 5'10 x 19 1/2 x 2 1/2 -29,7L PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'10;Volume;29,7L;;;2,790.00;2,590.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"lost, prancha de surf";;;Lost;SIM;;;;
js-subxero-56-x-20-x-2-9-16-303l-carbon-tune;"JS SubXero - 5'6 x 20 x 2 9/16- 30,3L - Carbon Tune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'6;Volume;30,3L;;;5,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"carbontune, js, js industries, prancha de surf, subxero";;;"JS Industries";SIM;;;;
js-xero-fusion-59-x-19-5-8-x-2-3-8-29l-eps-carbon-tune;"JS Xero Fusion 5'9 x 19 5/8 x 2 3/8 - 29L - EPS Carbon Tune";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'9;Volume;29L;;;5,690.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"carbontune, js, js industries, prancha de surf, xerofusion";;;"JS Industries";SIM;;;;
js-monsta-10-59-x-18-7-8-x-2-7-16-266l-pu;"JS Monsta 10 - 5'9 x 18 7/8 x 2 7/16 - 26,6L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf JS Industries";Tamanho;5'9;Volume;26,6L;;;3,790.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"js, js industries, Monta 10, prancha de surf, pu";;;"JS Industries";SIM;;;;
lost-sub-driver-2-0-squash-58-x-18-3-4-x-2-1-4-25l-eps;"Lost Sub-Driver 2.0 Squash - 5'8 x 18 3/4 x 2 1/4 -25L EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf Lost Surfboards";Tamanho;5'8;Volume;25L;;;3,490.00;2,999.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"driver2.0, lost, prancha de surf";;;Lost;SIM;;;;
seminova-dhd-mf-dna-59x-19-1-8-x-2-7-16-x-285l-pu;"Seminova DHD MF DNA 5'9x 19 1/8 x 2 7/16 x 28,5L -PU";"Prancha de surf > Prancha de surf usada seminova";Tamanho;5'9;Volume;28,5L;;;2,000.00;1,490.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"dhd, prancha de surf, PRANCHA USADA, SEMINOVA, USADA";;;"DHD Surfboards";SIM;;;;
snapy-wc-510-x-19-x-2-7-16-281l-pu;"Snapy WC 5'10 x 19 x 2 7/16 - 28,1L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'10;Volume;28,1L;;;2,790.00;2,570.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"prancha de surf, snapy, WC";;;Snapy;SIM;;;;
al-merrick-big-happy-62x-20-x-2-3-4-355l-pu;"Al Merrick Big Happy 6'2x 20 x 2 3/4 - 35,5L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;6'2;Volume;35,5L;;;5,190.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Big Happy, prancha de surf";;;"Al Merrick";SIM;;;;
al-merrick-big-happy-60-x-19-3-4-x-2-11-16-334l-pu;"Al Merrick Big Happy 6'0 x 19 3/4 x 2 11/16 - 33,4L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;6'0;Volume;33,4L;;;4,950.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, Big Happy, prancha de surf";;;"Al Merrick";SIM;;;;
al-merrick-happy-everyday-61-x-20-1-2-x-2-5-8-351l-pu;"Al Merrick Happy Everyday 6'1 x 20 1/2 x 2 5/8 - 35,1L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;6'1;Volume;35,1L;;;4,950.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"32.6L, 5'11, al merrick, Channel Islands, happy everyday, prancha de surf";;;"Al Merrick";SIM;;Unissex;Adulto;
al-merrick-dumpster-diver2-510-x-20-x-2-9-16-324l-eps-spinetek;"Al Merrick Dumpster Diver2 - 5'10 x 20 x 2 9/16 - 32,4L EPS Spinetek";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'10;Volume;32,4L;;;6,325.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"al merrick, cisurfboards, DD2, DUMPSTERDIVER2, prancha de surf";;;"Al Merrick";SIM;;;;
al-merrick-dumpster-diver2-59-x-19-3-4-x-2-1-2-308l-eps-spinetek;"Al Merrick Dumpster Diver2 - 5'9 x 19 3/4 x 2 1/2- 30,8L EPS Spinetek";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'9;Volume;30,8L;;;5,990.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"al merrick, cisurfboards, DD2, DUMPSTERDIVER2, prancha de surf";;;"Al Merrick";SIM;;;;
al-merrick-rocket-wide-510-x-20-x-2-5-8-335-eps-spinetek;"Al Merrick Rocket Wide 5'10 x 20 x 2 5/8 - 33,5 - EPS Spinetek";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'10;Volume;33,5L;;;6,325.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"al merrick, Channel Islands, prancha de surf, rocket wide, spinetek";;;"Al Merrick";SIM;;;;
al-merrick-ci-2-pro-round-61-x-19-1-8-x-2-9-16-318l-pu;"Al Merrick CI 2 PRO Round 6'1 x 19 1/8 x 2 9/16 - 31,8L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands, Pranchas em promoção";Tamanho;6'1;Volume;31,8L;;;4,950.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"al merrick, CI2PRO, prancha de surf";;;"Al Merrick";SIM;;;;
pyzel-power-tiger-round-60-x-19-1-4-x-2-9-16-315l-pu;"Pyzel Power Tiger Round 6'0 x 19 1/4 x 2 9/16- 31,5L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;6'0;Volume;31,5L;;;4,380.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"powertiger, pranha de surf, pyzel";;;Pyzel;SIM;;Unissex;Adulto;
pyzel-power-tiger-510-x-19-x-2-7-16-285l-pu;"Pyzel Power Tiger 5'10 x 19 x 2 7/16- 28,5L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;5'10;Volume;28,5L;;;4,380.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"5'10, powertiger, pranha de surf, pyzel";;;Pyzel;SIM;;Unissex;Adulto;
pyzel-white-tiger-56-x-19-1-2-x-2-1-2-301l-eps-50-carbon;"Pyzel White Tiger 5'6 x 19 1/2 x 2 1/2 - 30,1L EPS 50% CARBON";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;5'6;Volume;30,1L;;;5,890.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"5'7, pranha de surf, pyzel, white tiger";;;Pyzel;SIM;;;;
pyzel-red-tiger-510-x-19-1-4-x-2-7-16-294l-eps-50-carbon;"Pyzel Red Tiger 5'10 x 19 1/4 x 2 7/16 - 29,4L EPS 50% CARBON";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;5'10;Volume;29,4L;;;5,490.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"5'10, fullcarbon, pranha de surf, pyzel, red tiger";;;Pyzel;SIM;;;;
pyzel-mini-ghost-59-x-19-3-8-x-2-1-2-299l-eps-full-carbon;"Pyzel Mini Ghost 5'9 x 19 3/8 x 2 1/2 - 29,9L EPS Full Carbon";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;5'9;Volume;29,9L;;;5,990.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"fullcarbon, Mini Ghost, pranha de surf, pyzel";;;Pyzel;SIM;;Unissex;Adulto;
pyzel-the-ghost-510-x-19-1-4-x-2-9-16-288l-pu-copia;"Pyzel The Ghost 5'10 x 19 1/4 x 2 9/16- 28,8L PU - (cópia)";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;5'10;Volume;28,8L;;;4,380.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"pranha de surf, pyzel, the ghost";;;Pyzel;SIM;;Unissex;Adulto;
pyzel-red-tiger-511-x-19-3-8-x-2-7-16-30l-pu;"Pyzel Red Tiger 5'11 x 19 3/8 x 2 7/16 - 30L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Pyzel Surfboards";Tamanho;5'11;Volume;30L;;;4,380.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"pranha de surf, pyzel, red tiger";;;Pyzel;SIM;;Unissex;Adulto;
dhd-3dv-510-x-19-3-8-x-2-7-16-295l-eps;"DHD 3DV 5'10 x 19 3/8 x 2 7/16 - 29,5L - EPS";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards";Tamanho;5'10;Volume;29,5L;;;4,325.00;3,990.00;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"3dv, dhd, prancha de surf";;;"DHD Surfboards";SIM;;;;
snapy-north-shore-60-x-19-1-4-x-2-9-16-294-pu;"Snapy North Shore - 6'0 x 19 1/4 x 2 9/16 - 29,4 PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;6;Volume;29,4L;;;2,790.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"northshore, prancha de surf, snapy";;;Snapy;SIM;;;;
snapy-aloha-511-x-19-7-8-x-2-11-16-331-pu;"Snapy Aloha 5'11 x 19 7/8 x 2 11/16 - 33,1 PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'11;Volume;33,1L;;;2,790.00;2,570.00;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"aloha, prancha de surf, snapy";;;Snapy;SIM;;;;
snapy-rtx-59-x-18-7-8-x-2-3-8-263l-pu;"Snapy RTX - 5'9 x 18 7/8 x 2 3/8 - 26,3L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'9;Volume;26,3L;;;2,790.00;2,570.00;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"29.3L, 5'10, Fritas XL, prancha de surf, snapy";;;Snapy;SIM;;;;
snapy-fritas-2-0-swallow-59-x-19-5-8-x-2-9-16-30-2l-pu;"Snapy Fritas 2.0 Swallow - 5'9 x 19 5/8 x 2 9/16 - 30.2L PU";"Prancha de surf > Prancha de surf nova > Prancha de surf Snapy";Tamanho;5'10;Volume;30,2L;;;2,890.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"Fritas XL, prancha de surf, snapy";;;Snapy;SIM;;;;
dhd-sandman-62-x19-3-4-x-2-11-16-345l-pu;"DHD Sandman 6'2 X 19 3/4 x 2 11/16 - 34,5L - PU";"Prancha de surf > Prancha de surf nova > Prancha de surf DHD Surfboards";Tamanho;6'2;Volume;34,5L;;;4,290.00;;4.00;216.00;15.00;53.00;0;;;SIM;NÃO;;"dhd, prancha de surf, sandman";;;"DHD Surfboards";SIM;;;;
al-merrick-dumpster-diver2-59x-19-3-4-x-2-1-2-308l-pu-ect;"Al Merrick Dumpster Diver2 - 5'9x 19 3/4 x 2 1/2 - 30,8L PU ECT";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'9;Volume;30,9L;;;5,500.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"al merrick, cisurfboards, DD2, DUMPSTERDIVER2, prancha de surf";;;"Al Merrick";SIM;;;;
al-merrick-ci-2-pro-510-x-18-7-8-x-2-7-16-287l-pu-ect;"Al Merrick CI 2 PRO 5'10 x 18 7/8 x 2 7/16 - 28,7L PU ECT";"Prancha de surf > Prancha de surf nova > Prancha de surf Al Merrick - Channel Islands";Tamanho;5'10;Volume;28,7L;;;5,500.00;;4.00;216.00;15.00;53.00;1;;;SIM;NÃO;;"28.7L, al merrick, carbon, CI2PRO, ect, prancha de surf";;;"Al Merrick";SIM;;;;
